fast_window,slow_window,split_idx,sharpe_ratio,total_return,max_drawdown,trade_count,dataset,selection_score,eligible_for_selection
24,48,0,-4.917074818406133,-0.1775130021454022,-0.20484809656133995,115,train,-4.917074818406133,True
24,48,1,-6.152025746994518,-0.2101974322678044,-0.2487951078048215,117,train,-6.152025746994518,True
24,48,2,-7.291238051466228,-0.23846409673502933,-0.26146181076678987,116,train,-7.291238051466228,True
24,48,3,-7.776626942821893,-0.24902693165917514,-0.25177592326614706,116,train,-7.776626942821893,True
24,72,0,-3.5703686409763256,-0.13390449144927483,-0.15958616767169298,82,train,-3.5703686409763256,True
24,72,1,-3.948938478956876,-0.141234787585082,-0.1793312354704868,83,train,-3.948938478956876,True
24,72,2,-5.101440374031521,-0.17367900043055795,-0.19754420479037849,84,train,-5.101440374031521,True
24,72,3,-5.480540306324052,-0.18297015562238322,-0.19184163152636013,85,train,-5.480540306324052,True
24,96,0,-2.6164929648940114,-0.10137195335608055,-0.12824423065448098,67,train,-2.6164929648940114,True
24,96,1,-2.440974181125167,-0.09115638851656957,-0.12191664699810534,65,train,-2.440974181125167,True
24,96,2,-2.779667270173542,-0.09963971599043339,-0.11663802194126693,64,train,-2.779667270173542,True
24,96,3,-2.901055353548892,-0.10299652040132583,-0.1166380219412666,63,train,-2.901055353548892,True
24,120,0,-2.27936422690734,-0.08878133952383836,-0.12128996185499441,63,train,-2.27936422690734,True
24,120,1,-1.9586198767216112,-0.07437223723697968,-0.11419749308386629,63,train,-1.9586198767216112,True
24,120,2,-2.883725142170836,-0.10149479738705998,-0.11338706375565899,61,train,-2.883725142170836,True
24,120,3,-2.395516206235895,-0.08504325735048804,-0.1059490169391234,58,train,-2.395516206235895,True
24,144,0,-0.6869194548726649,-0.032789283538712084,-0.10218145314314497,49,train,-0.6869194548726649,True
24,144,1,0.3416765407002702,0.005549092340422476,-0.09284801038168744,49,train,0.3416765407002702,True
24,144,2,-0.9230713179299243,-0.038287643312194745,-0.09205612098854199,50,train,-0.9230713179299243,True
24,144,3,-0.5003298989570107,-0.023657902291414644,-0.07885612601243885,49,train,-0.5003298989570107,True
24,168,0,1.382750624930547,0.04551759497369483,-0.07467869840768171,40,train,1.382750624930547,True
24,168,1,2.183198124188385,0.07550892493269248,-0.07467869840768049,39,train,2.183198124188385,True
24,168,2,1.1299879310942658,0.034001028924355976,-0.07357001075195857,39,train,1.1299879310942658,True
24,168,3,1.3337927297461871,0.0412795015211218,-0.07357001075196068,39,train,1.3337927297461871,True
24,192,0,1.1818426374817472,0.037696703888652906,-0.08547140169887235,33,train,1.1818426374817472,True
24,192,1,1.4228232604227635,0.044898382186873274,-0.08304008925795148,31,train,1.4228232604227635,True
24,192,2,1.261836369103224,0.03892827018617811,-0.07755897693861358,32,train,1.261836369103224,True
24,192,3,1.3750592424159762,0.04291357813942352,-0.07755897693861136,32,train,1.3750592424159762,True
48,72,0,-1.5917471372766996,-0.0665435614128935,-0.1211551979963168,73,train,-1.5917471372766996,True
48,72,1,-1.722125301398243,-0.06836286326428831,-0.10307020982328952,74,train,-1.722125301398243,True
48,72,2,-2.1666490651372703,-0.08194400571725657,-0.10307020982329129,76,train,-2.1666490651372703,True
48,72,3,-2.726608417764241,-0.0992875647571085,-0.10923061287987523,77,train,-2.726608417764241,True
48,96,0,-3.829881471844874,-0.14448361234661183,-0.189441711981862,64,train,-3.829881471844874,True
48,96,1,-2.8996139413432154,-0.10860395398057619,-0.15943107802866707,62,train,-2.8996139413432154,True
48,96,2,-3.7584090354531203,-0.13296786394832566,-0.1532546688417994,61,train,-3.7584090354531203,True
48,96,3,-4.089740695162791,-0.14283679070529787,-0.1486632725299426,61,train,-4.089740695162791,True
48,120,0,-3.9356261056275774,-0.14573942230240697,-0.18005554458799,53,train,-3.9356261056275774,True
48,120,1,-2.3610059905213023,-0.08877820970584355,-0.15096083127193605,51,train,-2.3610059905213023,True
48,120,2,-3.097678974719325,-0.10980457971141641,-0.14114526450348674,49,train,-3.097678974719325,True
48,120,3,-2.8122089553005387,-0.10000937939962455,-0.1240152316543276,48,train,-2.8122089553005387,True
48,144,0,-1.4221839592194454,-0.059534918845977475,-0.11800509530560721,43,train,-1.4221839592194454,True
48,144,1,-0.5133801565218127,-0.025674194644583623,-0.11497801834874566,41,train,-0.5133801565218127,True
48,144,2,-1.68142115324989,-0.06463319024058956,-0.10878848067694835,41,train,-1.68142115324989,True
48,144,3,-0.996598652529321,-0.04095790117919239,-0.08497622013428086,39,train,-0.996598652529321,True
48,168,0,-1.0953955682339098,-0.04779838192178954,-0.13002005958079565,33,train,-1.0953955682339098,True
48,168,1,-0.12076642553198853,-0.01146260953160322,-0.12119681506717284,31,train,-0.12076642553198853,True
48,168,2,-1.0120930571416424,-0.04182695576557808,-0.11507965840011569,31,train,-1.0120930571416424,True
48,168,3,-0.7666740697752397,-0.03317362393169742,-0.10274187275071978,31,train,-0.7666740697752397,True
48,192,0,-0.8308802129260402,-0.038276441177255836,-0.12451341931283966,31,train,-0.8308802129260402,True
48,192,1,0.32869432602053206,0.005044035488805093,-0.11584249497074506,30,train,0.32869432602053206,True
48,192,2,-0.67282926463469,-0.030282989407994478,-0.10914577518538116,30,train,-0.67282926463469,True
48,192,3,-0.3723165316411721,-0.019626209638711544,-0.0946405329642791,30,train,-0.3723165316411721,True
